,hpi,perm,wage,supply,mr
1990-03-31,56.04666666666666,137.512827016535,1258175920.92556,7.466666666666666,10.131538461538462
1990-06-30,56.836666666666666,119.0976422577818,1293222630.4837198,8.133333333333333,10.323846153846155
1990-09-30,57.47,124.83087103843268,1316440843.7714698,8.133333333333333,10.103076923076923
1990-12-31,58.06,128.22761915745934,1329317659.65691,8.466666666666667,9.95923076923077
1991-03-31,59.03666666666667,117.76513984359035,1353407386.43739,8.200000000000001,9.500769230769231
1991-06-30,59.71,150.692110657756,1368107742.07271,7.1000000000000005,9.522307692307693
1991-09-30,60.7,135.8794884484697,1380839574.05901,7.1000000000000005,9.273076923076923
1991-12-31,61.65,142.387934091307,1392641456.09037,6.366666666666667,8.69
1992-03-31,62.35666666666666,176.94819259257932,1425083631.37458,5.3999999999999995,8.688461538461539
1992-06-30,63.34666666666667,165.28717984528967,1470136999.85873,5.8999999999999995,8.677692307692308
1992-09-30,64.04,194.32050365769666,1482425981.04152,5.166666666666667,8.017692307692307
1992-12-31,65.24666666666667,176.77313009599766,1565474321.4855402,5.166666666666667,8.192142857142857
1993-03-31,65.66666666666667,156.11685133718268,1493859057.2608302,5.366666666666667,7.723333333333334
1993-06-30,66.40333333333334,172.48562533176496,1591157452.96767,5.066666666666666,7.453076923076923
1993-09-30,67.31,184.69863623045202,1616078332.58488,5.233333333333333,7.087692307692308
1993-12-31,68.69666666666667,224.33838598164468,1643143501.55386,4.766666666666667,7.046428571428572
1994-03-31,71.09666666666668,154.90380173294633,1593378836.61305,5.233333333333333,7.295833333333333
1994-06-30,75.23666666666666,164.56339616267866,1606557923.16164,5.566666666666666,8.427692307692308
1994-09-30,77.45,154.40543846600266,1692946001.7144802,6.133333333333333,8.594285714285714
1994-12-31,78.55,144.372482172096,1671841088.16431,6.166666666666667,9.105384615384615
1995-03-31,79.84333333333333,128.758307053299,1742159542.18799,6.966666666666666,8.785384615384617
1995-06-30,80.76,99.62653996832422,1730023076.86974,6.266666666666667,7.917692307692307
1995-09-30,81.67666666666666,105.53272434964269,1737984422.8297698,6.0,7.696153846153846
1995-12-31,82.85666666666667,105.5406625837636,1746287307.49897,6.5,7.339230769230769
1996-03-31,83.33666666666666,128.50799648349533,1820585898.27572,5.966666666666666,7.272307692307692
1996-06-30,83.91666666666667,146.09942303465067,1835476532.69264,5.966666666666666,8.102307692307692
1996-09-30,85.03,128.872339240142,1837423573.1452105,5.3,8.146923076923077
