,hpi,perm,wage,supply,mr
1990-03-31,76.24,191.826786910305,1348071783.02133,7.466666666666666,10.131538461538462
1990-06-30,76.96333333333334,170.84016706728468,1351753672.6427698,8.133333333333333,10.323846153846155
1990-09-30,77.20333333333333,166.58423284872669,1359780845.01988,8.133333333333333,10.103076923076923
1990-12-31,77.27333333333333,152.14057424363634,1355335387.48894,8.466666666666667,9.95923076923077
1991-03-31,76.83999999999999,153.35728183340566,1369580680.96139,8.200000000000001,9.500769230769231
1991-06-30,77.58666666666666,186.033542570407,1374288639.7323198,7.1000000000000005,9.522307692307693
1991-09-30,78.20666666666666,178.78441942055198,1381641915.39873,7.1000000000000005,9.273076923076923
1991-12-31,78.27,195.0864339218913,1376906014.10006,6.366666666666667,8.69
1992-03-31,78.77333333333333,255.10018320408503,1402921331.25876,5.3999999999999995,8.688461538461539
1992-06-30,79.11666666666666,215.73682036254468,1419609574.85009,5.8999999999999995,8.677692307692308
1992-09-30,79.85000000000001,224.23352973222003,1430102954.66423,5.166666666666667,8.017692307692307
1992-12-31,80.28,238.196172026141,1495042112.20095,5.166666666666667,8.192142857142857
1993-03-31,80.02333333333333,214.15874424074264,1426350359.6976302,5.366666666666667,7.723333333333334
1993-06-30,80.42666666666666,233.699292352346,1507470808.60804,5.066666666666666,7.453076923076923
1993-09-30,80.83666666666666,252.96758688874868,1504456005.32452,5.233333333333333,7.087692307692308
1993-12-31,81.37333333333333,262.444526273154,1565361890.10189,4.766666666666667,7.046428571428572
1994-03-31,82.38,252.77222884310598,1528157581.31608,5.233333333333333,7.295833333333333
1994-06-30,82.92333333333333,259.3577934843367,1580984027.9960198,5.566666666666666,8.427692307692308
1994-09-30,83.05,233.01862499388267,1652437036.6093,6.133333333333333,8.594285714285714
1994-12-31,83.31333333333333,227.34150773416664,1618585432.69488,6.166666666666667,9.105384615384615
1995-03-31,84.23666666666666,230.15125388981565,1676165755.48143,6.966666666666666,8.785384615384617
1995-06-30,84.68333333333334,223.10324353310932,1674690449.09949,6.266666666666667,7.917692307692307
1995-09-30,85.15666666666667,254.545012880864,1688959140.66628,6.0,7.696153846153846
1995-12-31,86.01333333333334,248.49392436419,1706779362.88775,6.5,7.339230769230769
1996-03-31,86.43333333333332,279.2518167949374,1779300819.67374,5.966666666666666,7.272307692307692
1996-06-30,87.23,345.9842797014353,1785351939.9453895,5.966666666666666,8.102307692307692
1996-09-30,87.71,268.879939854894,1824813493.13961,5.3,8.146923076923077
1996-12-31,88.07666666666667,277.140125835395,1834460205.65829,5.266666666666667,7.703076923076923
1997-03-31,89.12666666666667,285.258745259183,1916368616.11984,4.433333333333334,7.7930769230769235
1997-06-30,89.43333333333334,298.11444774959267,1912074525.5730104,4.566666666666666,7.926923076923076
1997-09-30,90.28333333333336,257.54312335767764,1899198591.9538696,4.3,7.47
1997-12-31,91.52,270.37440446821466,1974335363.61721,4.2,7.205384615384616
1998-03-31,92.28666666666668,289.82754040978466,1978656984.70506,4.0,7.050000000000001
1998-06-30,92.99666666666668,303.6037795503183,2054752793.24732,3.9,7.0976923076923075
1998-09-30,94.25,321.19982058219466,2122201776.03488,4.066666666666666,6.872307692307692
1998-12-31,95.12333333333332,347.3625466865794,2184353135.73232,3.766666666666667,6.764285714285714
1999-03-31,96.20333333333332,312.5229602220477,2135259550.31417,4.0,6.8775
