,hpi,perm,wage,supply,mr
1990-03-31,102.12333333333332,2687.275376681117,4004068006.01768,7.466666666666666,10.131538461538462
1990-06-30,102.87666666666668,2006.3005902445332,4085390965.46332,8.133333333333333,10.323846153846155
1990-09-30,102.87,1602.6769875649334,4063315935.63212,8.133333333333333,10.103076923076923
1990-12-31,101.77,1211.0359173174336,4103005700.04158,8.466666666666667,9.95923076923077
1991-03-31,100.44333333333331,984.6436758611272,4219768104.46968,8.200000000000001,9.500769230769231
1991-06-30,100.64,1134.2842193739,4110502377.64796,7.1000000000000005,9.522307692307693
1991-09-30,100.05,1145.7300524523,4217316752.0988,7.1000000000000005,9.273076923076923
1991-12-31,99.23666666666666,1190.8662152554807,4264542038.33725,6.366666666666667,8.69
1992-03-31,98.34,1197.5439917706035,4334320642.27716,5.3999999999999995,8.688461538461539
1992-06-30,97.38333333333333,1173.88169235172,4417133588.99852,5.8999999999999995,8.677692307692308
1992-09-30,95.61666666666667,1015.8100677458236,4379728403.35316,5.166666666666667,8.017692307692307
1992-12-31,94.73333333333332,1248.8385077899682,4517129513.78232,5.166666666666667,8.192142857142857
1993-03-31,93.46,930.6954021471047,4308159819.68384,5.366666666666667,7.723333333333334
1993-06-30,91.18333333333334,995.316524823143,4461696809.21835,5.066666666666666,7.453076923076923
1993-09-30,89.3,962.3356116109422,4532971068.402,5.233333333333333,7.087692307692308
1993-12-31,88.17,1097.2374946055518,4623361324.03147,4.766666666666667,7.046428571428572
1994-03-31,86.79,1049.466569739651,4584766169.36955,5.233333333333333,7.295833333333333
1994-06-30,86.12,1016.36141740244,4641662238.37404,5.566666666666666,8.427692307692308
1994-09-30,85.30333333333333,1055.522050658992,4825014589.176271,6.133333333333333,8.594285714285714
1994-12-31,84.82333333333334,959.169074523746,4753229347.25159,6.166666666666667,9.105384615384615
1995-03-31,83.79333333333334,818.79790701693,4878019545.20404,6.966666666666666,8.785384615384617
1995-06-30,82.77666666666666,737.7372293364066,4893901512.7819605,6.266666666666667,7.917692307692307
1995-09-30,82.79,939.2061158860364,4927236047.50609,6.0,7.696153846153846
1995-12-31,81.89999999999999,977.3086162519335,4975093414.22483,6.5,7.339230769230769
1996-03-31,81.39,1005.0746845207914,5075485087.37898,5.966666666666666,7.272307692307692
1996-06-30,81.05333333333333,962.807611644841,5134801439.217811,5.966666666666666,8.102307692307692
1996-09-30,81.07666666666667,957.5859067878133,5152240669.856071,5.3,8.146923076923077
1996-12-31,80.99333333333334,946.361840330138,5237035999.71667,5.266666666666667,7.703076923076923
1997-03-31,80.88,996.5897495148797,5429982659.77841,4.433333333333334,7.7930769230769235
1997-06-30,80.64333333333333,1101.24088996582,5569164134.09321,4.566666666666666,7.926923076923076
1997-09-30,81.44666666666666,1125.514979899284,5541712810.3295,4.3,7.47
1997-12-31,82.24333333333334,1295.56165216063,5735101120.32025,4.2,7.205384615384616
1998-03-31,84.27999999999999,1302.5539366163869,5803187203.28753,4.0,7.050000000000001
1998-06-30,85.98666666666668,1302.3612879607433,5995608592.14298,3.9,7.0976923076923075
