,hpi,perm,wage,supply,mr
1990-03-31,90.81333333333332,,122199527.278452,7.466666666666666,10.131538461538462
1990-06-30,91.94,,121096837.368879,8.133333333333333,10.323846153846155
1990-09-30,91.96,,121684717.25128798,8.133333333333333,10.103076923076923
1990-12-31,91.12,,124437055.863104,8.466666666666667,9.95923076923077
1991-03-31,90.21333333333332,,123917034.6819,8.200000000000001,9.500769230769231
1991-06-30,90.19,,124004619.649823,7.1000000000000005,9.522307692307693
1991-09-30,88.53666666666668,,124414168.56086,7.1000000000000005,9.273076923076923
1991-12-31,88.35000000000001,,126017544.439053,6.366666666666667,8.69
1992-03-31,89.64,,130689098.402052,5.3999999999999995,8.688461538461539
1992-06-30,87.77666666666669,,131636696.638235,5.8999999999999995,8.677692307692308
1992-09-30,87.99666666666667,,134479703.201882,5.166666666666667,8.017692307692307
1992-12-31,86.56,,142573276.529449,5.166666666666667,8.192142857142857
1993-03-31,88.43666666666667,102.2834288975353,132648392.017049,5.366666666666667,7.723333333333334
1993-06-30,88.18,124.11697930382768,140915192.046205,5.066666666666666,7.453076923076923
1993-09-30,86.60666666666667,113.26386984020026,142216417.998363,5.233333333333333,7.087692307692308
1993-12-31,87.56,111.29398762793863,147894890.462304,4.766666666666667,7.046428571428572
1994-03-31,86.75666666666666,125.51521819607133,143101652.206198,5.233333333333333,7.295833333333333
1994-06-30,86.83999999999999,109.85444636355874,151090044.229108,5.566666666666666,8.427692307692308
1994-09-30,87.32333333333334,103.58869671932841,157369895.513768,6.133333333333333,8.594285714285714
1994-12-31,86.5,103.93465446376054,154942143.92630902,6.166666666666667,9.105384615384615
1995-03-31,86.36,92.55890001618333,165235179.480146,6.966666666666666,8.785384615384617
1995-06-30,86.78333333333335,78.8003652108267,162980616.51638,6.266666666666667,7.917692307692307
1995-09-30,87.03666666666668,80.42315870549093,160009966.648051,6.0,7.696153846153846
1995-12-31,87.99333333333334,73.92036538369915,161392158.12663,6.5,7.339230769230769
1996-03-31,87.26666666666667,75.21114753275657,169604529.2592,5.966666666666666,7.272307692307692
1996-06-30,87.97000000000001,77.35967277466021,171920260.626207,5.966666666666666,8.102307692307692
1996-09-30,87.68333333333334,82.52542459740006,176269079.831816,5.3,8.146923076923077
1996-12-31,86.65333333333332,77.22659716317703,177408841.537984,5.266666666666667,7.703076923076923
1997-03-31,87.77666666666666,82.2277730726218,179589372.35276002,4.433333333333334,7.7930769230769235
1997-06-30,87.24000000000001,85.94377278267098,180572250.703696,4.566666666666666,7.926923076923076
1997-09-30,88.87,99.05500930763434,181047908.729318,4.3,7.47
1997-12-31,90.31666666666666,95.5726339912464,173750394.488696,4.2,7.205384615384616
1998-03-31,90.91333333333334,93.16318634534059,184799308.138109,4.0,7.050000000000001
1998-06-30,91.70666666666666,110.32799184006569,192278258.187309,3.9,7.0976923076923075
1998-09-30,92.93666666666668,105.32591699111201,197540257.995854,4.066666666666666,6.872307692307692
1998-12-31,92.67333333333332,104.6575630067397,203221410.225024,3.766666666666667,6.764285714285714
1999-03-31,92.33666666666666,108.60497720050432,192224147.294028,4.0,6.8775
1999-06-30,95.30333333333331,113.13636180862564,205613180.785807,3.9333333333333336,7.181538461538461
1999-09-30,96.31333333333332,100.23694090990172,208384127.335296,4.166666666666667,7.786153846153846
1999-12-31,97.79666666666668,98.42646789189604,218532144.35306495,4.266666666666667,7.840714285714285
2000-03-31,100.39,101.22068547462533,219626657.832776,4.3,8.256923076923076
2000-06-30,102.96999999999998,103.89368259452681,222028650.921672,4.533333333333334,8.316153846153846
2000-09-30,104.08333333333331,99.21624856445465,230758770.046954,4.166666666666667,8.02
2000-12-31,107.02,93.06159123271136,233436224.72785297,3.9333333333333336,7.620769230769231
2001-03-31,110.71,100.84001017418427,238059710.001589,3.766666666666667,7.006923076923077
2001-06-30,111.56,113.76107750153834,242096569.64270097,4.033333333333334,7.13
2001-09-30,115.71999999999998,133.63253529844465,243848581.13348505,4.333333333333333,6.963846153846154
2001-12-31,119.13,130.688058879744,247944921.207942,4.066666666666666,6.770769230769231
2002-03-31,122.01666666666668,145.45989060661336,258055245.241228,4.1000000000000005,6.9715384615384615
2002-06-30,124.31,122.30563889980601,266184614.861046,4.166666666666667,6.813076923076922
2002-09-30,127.21666666666664,125.094710072917,278585904.047072,4.033333333333333,6.28923076923077
2002-12-31,132.96333333333334,133.16512403132302,293674117.67522204,4.0,6.075384615384616
2003-03-31,139.14,141.32917891439433,299570844.580131,4.2,5.840769230769231
2003-06-30,143.16333333333333,132.21712777411867,310652670.411642,3.8333333333333335,5.506923076923077
2003-09-30,147.51333333333332,183.48786148365664,319642165.445535,3.6333333333333333,6.033846153846154
2003-12-31,153.82333333333335,190.75235715283534,337560557.92079103,3.9666666666666663,5.9192857142857145
2004-03-31,161.36333333333334,169.791225299479,276686991.30415696,3.6999999999999997,5.5975
2004-06-30,172.33666666666667,202.0684338351933,288571382.49004,3.9,6.106153846153846
2004-09-30,183.63333333333333,177.195734092443,278384059.373932,4.3,5.894285714285714
2004-12-31,188.89666666666668,222.83163421490568,306276192.276111,4.1000000000000005,5.7361538461538455
2005-03-31,202.58,243.74786282983635,303173816.960999,4.266666666666667,5.768461538461538
2005-06-30,224.67666666666665,211.28802256212134,313291360.984231,4.266666666666667,5.708461538461538
2005-09-30,241.66333333333333,219.194607468369,332552169.494953,4.466666666666667,5.7638461538461545
2005-12-31,250.45333333333332,280.0884164022023,333375149.483702,4.8,6.226153846153846
2006-03-31,253.22,279.23115348200736,350360752.890297,5.766666666666667,6.2469230769230775
2006-06-30,247.02,221.189425747294,348254106.574058,6.266666666666667,6.602307692307692
2006-09-30,239.33,187.362093914572,361677019.970812,6.8999999999999995,6.5600000000000005
2006-12-31,235.86333333333332,141.17612054135233,354098151.654316,6.8,6.243846153846154
2007-03-31,217.6266666666667,126.29643645992797,355940365.181024,7.666666666666667,6.214615384615384
2007-06-30,202.38666666666663,86.8801641729073,351432238.55113,7.8,6.358461538461539
2007-09-30,186.8933333333333,68.20600790411623,343179090.167531,8.9,6.5515384615384615
2007-12-31,175.79,30.8619176524535,341868192.795232,9.166666666666666,6.224615384615385
2008-03-31,166.45333333333335,32.3608482235749,357113343.416275,9.833333333333334,5.872307692307692
2008-06-30,159.31666666666666,26.30399481941563,348603618.345011,10.566666666666666,6.086923076923076
2008-09-30,153.11666666666667,34.9793040657727,335789995.947433,10.9,6.322307692307692
2008-12-31,142.81666666666666,17.475633737377635,333025635.606615,11.4,5.841428571428572
2009-03-31,130.07666666666665,23.703213355859532,318057537.02432,11.233333333333334,5.06
2009-06-30,121.1,24.275546461599234,322921462.45289904,9.5,5.012307692307692
2009-09-30,122.88333333333333,23.505410381161067,321688556.72243,7.733333333333333,5.162307692307692
2009-12-31,126.28333333333336,22.004892191768302,326348232.060482,7.666666666666667,4.922142857142857
2010-03-31,127.74666666666668,21.810394271341867,314845666.361547,7.833333333333333,4.995833333333334
2010-06-30,127.05,24.320938386836932,322167644.151193,7.933333333333334,4.922307692307692
2010-09-30,117.58,22.1790934734327,328576459.729599,8.433333333333334,4.4471428571428575
2010-12-31,115.90333333333336,24.8804744011987,329051247.471404,7.8,4.436153846153847
2011-03-31,118.95,28.5436341673218,330682864.77683,7.533333333333334,4.846923076923077
2011-06-30,117.72666666666667,26.002407316001833,331917523.973208,6.633333333333333,4.650769230769231
2011-09-30,117.62666666666668,23.4313253111368,344089510.963659,6.5,4.291538461538462
2011-12-31,111.03666666666668,25.094765576199734,328131051.729022,5.666666666666667,4.002307692307692
2012-03-31,115.88666666666666,25.49767936250373,343147635.726564,5.0,3.9223076923076925
2012-06-30,123.61333333333334,29.63050915201367,340839129.9061,4.8,3.7946153846153843
2012-09-30,125.92666666666666,28.021217349673165,342392760.661298,4.566666666666666,3.553846153846154
2012-12-31,127.38666666666666,33.4161475496454,347542775.35030603,4.666666666666667,3.3592307692307695
2013-03-31,129.77333333333334,39.31457718906637,358404739.464189,4.1000000000000005,3.496923076923077
2013-06-30,132.67666666666668,35.49645676433053,358461266.853536,4.366666666666666,3.6723076923076925
2013-09-30,135.52,35.14200560738093,363247526.835904,5.466666666666666,4.4399999999999995
2013-12-31,139.07333333333335,34.723688778212136,364957927.914191,5.033333333333334,4.2930769230769235
