,hpi,perm,wage,supply,mr
1990-03-31,59.303333333333335,28.461324190933635,194540793.966044,7.466666666666666,10.131538461538462
1990-06-30,60.64000000000001,33.6140584276453,193244457.440402,8.133333333333333,10.323846153846155
1990-09-30,63.336666666666666,29.149883982946367,199279133.306339,8.133333333333333,10.103076923076923
1990-12-31,64.94333333333333,23.62507147458633,206901405.63946295,8.466666666666667,9.95923076923077
1991-03-31,64.78333333333333,39.5521335669375,215110179.14678705,8.200000000000001,9.500769230769231
1991-06-30,65.97,25.78966788964537,221077624.59123105,7.1000000000000005,9.522307692307693
1991-09-30,67.30333333333333,27.488966581640437,222635252.839094,7.1000000000000005,9.273076923076923
1991-12-31,68.21666666666667,21.61339925792557,225716929.72464305,6.366666666666667,8.69
1992-03-31,70.36333333333333,28.51316443623743,231529726.66200697,5.3999999999999995,8.688461538461539
1992-06-30,71.23,30.915941044161062,236169007.747468,5.8999999999999995,8.677692307692308
1992-09-30,72.57666666666667,33.0354406536732,238527777.779834,5.166666666666667,8.017692307692307
1992-12-31,73.99333333333334,33.840857416399764,243884379.521418,5.166666666666667,8.192142857142857
1993-03-31,76.24666666666667,29.087406464781168,244789993.81445295,5.366666666666667,7.723333333333334
1993-06-30,77.65666666666667,28.102930780933033,259227295.346341,5.066666666666666,7.453076923076923
1993-09-30,79.72666666666667,38.157337343201796,263245592.821881,5.233333333333333,7.087692307692308
1993-12-31,81.25666666666666,36.69619710930773,273239531.695552,4.766666666666667,7.046428571428572
1994-03-31,84.33333333333333,48.78803682182717,266929731.397639,5.233333333333333,7.295833333333333
1994-06-30,85.78333333333335,32.95091581360526,276549644.120481,5.566666666666666,8.427692307692308
1994-09-30,86.57,47.132820367123166,293724389.515642,6.133333333333333,8.594285714285714
1994-12-31,88.39666666666666,24.719731763872733,287580342.815324,6.166666666666667,9.105384615384615
1995-03-31,89.91333333333334,27.514506649683597,314957496.289705,6.966666666666666,8.785384615384617
1995-06-30,92.17666666666666,20.2269144880234,304246669.97529304,6.266666666666667,7.917692307692307
1995-09-30,93.32333333333334,24.04519571487887,306904857.152621,6.0,7.696153846153846
1995-12-31,94.57,25.90237575105803,305881504.59905696,6.5,7.339230769230769
1996-03-31,93.93333333333334,26.533859496346565,316580604.093596,5.966666666666666,7.272307692307692
1996-06-30,93.49,34.02909924346147,315792302.91051203,5.966666666666666,8.102307692307692
1996-09-30,92.83333333333331,22.6942645634572,315390686.043078,5.3,8.146923076923077
1996-12-31,92.87666666666668,24.995764579548666,318962720.490928,5.266666666666667,7.703076923076923
1997-03-31,93.06666666666666,25.57708724131243,329307889.839729,4.433333333333334,7.7930769230769235
1997-06-30,93.77,28.990192202405666,335194917.230132,4.566666666666666,7.926923076923076
1997-09-30,94.73666666666666,32.84407047945954,344025541.051085,4.3,7.47
1997-12-31,94.81,30.015310110760264,346006408.206762,4.2,7.205384615384616
1998-03-31,95.91,30.979298558865604,351388075.13566697,4.0,7.050000000000001
1998-06-30,96.39666666666666,33.85439647114344,356084833.90765095,3.9,7.0976923076923075
1998-09-30,97.51333333333332,38.15542222136781,364483393.614845,4.066666666666666,6.872307692307692
1998-12-31,98.37666666666668,41.89809054893866,382491755.078438,3.766666666666667,6.764285714285714
1999-03-31,99.01333333333334,35.67111565709204,356262106.911112,4.0,6.8775
1999-06-30,98.85333333333334,38.068197291811664,368961373.88794905,3.9333333333333336,7.181538461538461
1999-09-30,99.38,34.80748989740757,382668032.637555,4.166666666666667,7.786153846153846
1999-12-31,99.88666666666666,36.182738704877735,391749927.087937,4.266666666666667,7.840714285714285
2000-03-31,99.93,42.577391818842436,394751228.662358,4.3,8.256923076923076
2000-06-30,103.81,34.348171611856095,413596952.79406,4.533333333333334,8.316153846153846
2000-09-30,103.91666666666669,36.54137897974133,402278143.550368,4.166666666666667,8.02
2000-12-31,106.02333333333333,39.19511458549823,413393577.475586,3.9333333333333336,7.620769230769231
2001-03-31,108.48333333333332,45.720383323653095,427012461.812489,3.766666666666667,7.006923076923077
2001-06-30,109.83,46.88326211639703,427762445.14695,4.033333333333334,7.13
2001-09-30,111.09,52.018032371836334,429128208.307412,4.333333333333333,6.963846153846154
2001-12-31,112.35333333333334,53.01006732055254,432312211.811365,4.066666666666666,6.770769230769231
2002-03-31,113.49333333333334,42.39408947783934,435683300.028235,4.1000000000000005,6.9715384615384615
2002-06-30,116.35666666666668,48.890369372411634,495028792.167545,4.166666666666667,6.813076923076922
2002-09-30,118.41,76.63516236827117,448133437.14405096,4.033333333333333,6.28923076923077
2002-12-31,119.69,39.716188376022366,452220219.047595,4.0,6.075384615384616
2003-03-31,122.51666666666668,48.369505884169804,457471183.82504505,4.2,5.840769230769231
2003-06-30,125.33333333333331,55.9697815967624,465403828.638368,3.8333333333333335,5.506923076923077
2003-09-30,128.0,53.858940203155434,467465834.612586,3.6333333333333333,6.033846153846154
2003-12-31,132.29666666666665,63.7672430837467,477057743.998834,3.9666666666666663,5.9192857142857145
2004-03-31,134.85333333333335,38.06917245868997,479082171.5778469,3.6999999999999997,5.5975
2004-06-30,137.64666666666665,53.53065571470257,492165021.4380781,3.9,6.106153846153846
2004-09-30,141.65,46.27190369997464,498959541.075629,4.3,5.894285714285714
