,hpi,perm,wage,supply,mr
1990-03-31,47.23,311.49675347179965,1977067735.22688,7.466666666666666,10.131538461538462
1990-06-30,47.61333333333334,271.9674647697363,1966071040.23508,8.133333333333333,10.323846153846155
1990-09-30,48.403333333333336,286.73315263797167,2008105960.4411304,8.133333333333333,10.103076923076923
1990-12-31,49.04333333333333,281.67587822799334,2025409478.2214,8.466666666666667,9.95923076923077
1991-03-31,50.01666666666667,321.20927983984,2063321854.92348,8.200000000000001,9.500769230769231
1991-06-30,51.01333333333333,361.791368927921,2117756887.2451696,7.1000000000000005,9.522307692307693
1991-09-30,51.376666666666665,370.32091560220897,2139903886.79435,7.1000000000000005,9.273076923076923
1991-12-31,52.35666666666666,406.9079722270033,2148502994.879,6.366666666666667,8.69
1992-03-31,53.903333333333336,416.67802319314666,2228306365.0875897,5.3999999999999995,8.688461538461539
1992-06-30,55.50333333333333,462.156071863581,2271448199.51798,5.8999999999999995,8.677692307692308
1992-09-30,56.24,490.8376600339027,2319902980.4317603,5.166666666666667,8.017692307692307
1992-12-31,58.39000000000001,511.7427353848077,2436147912.1352,5.166666666666667,8.192142857142857
1993-03-31,60.48333333333333,483.0225072518286,2335491500.33961,5.366666666666667,7.723333333333334
1993-06-30,62.93,567.1964146872319,2477154164.42423,5.066666666666666,7.453076923076923
1993-09-30,66.19333333333333,597.0848410145733,2514661102.54051,5.233333333333333,7.087692307692308
1993-12-31,69.51666666666667,607.6647225977104,2622120336.47639,4.766666666666667,7.046428571428572
1994-03-31,72.18333333333334,684.9951126525393,2583269955.74922,5.233333333333333,7.295833333333333
1994-06-30,74.89999999999999,592.8806839760219,2685914760.55007,5.566666666666666,8.427692307692308
1994-09-30,77.71,563.5597257003343,2800123173.7251897,6.133333333333333,8.594285714285714
1994-12-31,79.41333333333334,517.0225271612777,2793798880.8340697,6.166666666666667,9.105384615384615
1995-03-31,80.25,510.69018563235596,2922302804.45325,6.966666666666666,8.785384615384617
1995-06-30,81.75666666666666,526.1131811820977,2933773398.67664,6.266666666666667,7.917692307692307
1995-09-30,83.30333333333333,651.557270066285,2979850505.91087,6.0,7.696153846153846
1995-12-31,85.07333333333334,755.029092981055,3090923610.19023,6.5,7.339230769230769
1996-03-31,87.09333333333332,671.1200403238903,3172900272.64581,5.966666666666666,7.272307692307692
1996-06-30,89.38666666666666,752.916079692967,3249649064.40033,5.966666666666666,8.102307692307692
1996-09-30,90.76,705.2462774848931,3296150369.39769,5.3,8.146923076923077
1996-12-31,91.64333333333332,682.6749349489368,3382537679.33466,5.266666666666667,7.703076923076923
1997-03-31,92.16,674.940915418369,3492099186.807,4.433333333333334,7.7930769230769235
1997-06-30,92.54666666666668,674.4349263894796,3542221793.0895205,4.566666666666666,7.926923076923076
1997-09-30,93.09666666666664,702.738729424798,3666112606.25015,4.3,7.47
1997-12-31,94.07666666666668,676.6577377417437,3722012735.36794,4.2,7.205384615384616
1998-03-31,95.25,679.5703281761934,3721254479.01484,4.0,7.050000000000001
1998-06-30,96.56333333333332,712.488909017697,3834996454.29484,3.9,7.0976923076923075
1998-09-30,96.46999999999998,663.134475238507,3891922292.87272,4.066666666666666,6.872307692307692
1998-12-31,97.74333333333334,687.2147685876271,4075285890.934721,3.766666666666667,6.764285714285714
1999-03-31,98.25333333333332,657.3347340245404,3914818922.36765,4.0,6.8775
1999-06-30,98.81333333333332,657.6618333578771,4084476890.8504896,3.9333333333333336,7.181538461538461
1999-09-30,99.24,621.4912942905547,4261242434.5240297,4.166666666666667,7.786153846153846
1999-12-31,99.82,646.2501305532023,4282379214.7697,4.266666666666667,7.840714285714285
2000-03-31,100.53333333333336,613.8521278726363,4370779195.09597,4.3,8.256923076923076
2000-06-30,101.05666666666666,579.3142837280726,4446236494.340079,4.533333333333334,8.316153846153846
2000-09-30,101.69666666666669,535.2002239628649,4481887340.637,4.166666666666667,8.02
2000-12-31,102.63666666666668,524.5180154378053,4543359876.15609,3.9333333333333336,7.620769230769231
