,hpi,perm,wage,supply,mr
1990-03-31,73.99666666666667,,142321603.813941,7.466666666666666,10.131538461538462
1990-06-30,75.67,,145771588.026155,8.133333333333333,10.323846153846155
1990-09-30,75.88666666666666,,142801417.479876,8.133333333333333,10.103076923076923
1990-12-31,76.55333333333333,,142628903.443543,8.466666666666667,9.95923076923077
1991-03-31,77.54666666666667,,146974744.51445702,8.200000000000001,9.500769230769231
1991-06-30,77.82666666666667,,143709424.940042,7.1000000000000005,9.522307692307693
1991-09-30,77.89333333333333,,143208114.010867,7.1000000000000005,9.273076923076923
1991-12-31,78.54,,144907555.89124298,6.366666666666667,8.69
1992-03-31,79.88333333333333,,148138722.370471,5.3999999999999995,8.688461538461539
1992-06-30,80.94,,151083262.646426,5.8999999999999995,8.677692307692308
1992-09-30,80.97333333333334,,152739174.437637,5.166666666666667,8.017692307692307
1992-12-31,81.34333333333333,,158251562.254431,5.166666666666667,8.192142857142857
1993-03-31,81.06333333333333,36.13008566789587,153148600.40629598,5.366666666666667,7.723333333333334
1993-06-30,82.28666666666668,37.66375816751434,159581976.866831,5.066666666666666,7.453076923076923
1993-09-30,83.29,42.842937813247374,167522984.98911598,5.233333333333333,7.087692307692308
1993-12-31,82.97666666666667,39.259132662300864,167132072.136215,4.766666666666667,7.046428571428572
1994-03-31,82.61,35.225724287806294,169264161.47830302,5.233333333333333,7.295833333333333
1994-06-30,81.00333333333333,32.63832668398403,173546900.27061698,5.566666666666666,8.427692307692308
1994-09-30,80.71,26.51988324408353,179806789.837454,6.133333333333333,8.594285714285714
1994-12-31,81.21666666666667,22.230074822583862,175351826.982765,6.166666666666667,9.105384615384615
1995-03-31,80.42,26.667522473189297,184159304.65027,6.966666666666666,8.785384615384617
1995-06-30,85.17,25.602646913618532,184782123.429301,6.266666666666667,7.917692307692307
1995-09-30,84.85000000000001,25.943759888426996,184162003.615718,6.0,7.696153846153846
1995-12-31,85.14333333333333,28.524303739144568,190231347.151041,6.5,7.339230769230769
1996-03-31,87.62,32.7277661791881,192114012.039172,5.966666666666666,7.272307692307692
1996-06-30,87.38,32.0239622629587,195746054.360652,5.966666666666666,8.102307692307692
1996-09-30,88.43666666666667,25.306418216235333,196647245.46020505,5.3,8.146923076923077
1996-12-31,88.40000000000002,26.029956196037364,202081902.39943,5.266666666666667,7.703076923076923
1997-03-31,87.34666666666665,25.02796885578613,208426127.757967,4.433333333333334,7.7930769230769235
1997-06-30,88.52,32.11927765347764,212127546.573439,4.566666666666666,7.926923076923076
1997-09-30,90.57666666666668,31.320310364093,210834094.094958,4.3,7.47
1997-12-31,91.72333333333334,27.2796017765788,214374440.42908305,4.2,7.205384615384616
1998-03-31,92.47333333333334,25.147322384042635,217717649.532051,4.0,7.050000000000001
1998-06-30,92.96,28.240469640034032,220786418.597046,3.9,7.0976923076923075
1998-09-30,94.35666666666668,37.746294959821604,226112238.63022003,4.066666666666666,6.872307692307692
1998-12-31,95.48666666666668,30.438894929476835,234502089.93311295,3.766666666666667,6.764285714285714
1999-03-31,96.59666666666664,22.504347065536034,219972440.11776495,4.0,6.8775
1999-06-30,97.34333333333336,17.933380242861134,227182276.359494,3.9333333333333336,7.181538461538461
1999-09-30,95.33333333333331,30.4485195927891,234731385.284659,4.166666666666667,7.786153846153846
1999-12-31,98.04666666666668,27.92188628512587,240117308.532726,4.266666666666667,7.840714285714285
2000-03-31,100.01666666666668,28.889628745313104,242909626.46199703,4.3,8.256923076923076
2000-06-30,100.50333333333332,19.751390813085234,246592854.119896,4.533333333333334,8.316153846153846
2000-09-30,100.42666666666666,19.2133743202284,248355960.99145097,4.166666666666667,8.02
2000-12-31,101.39,18.055071300424267,244284694.46727,3.9333333333333336,7.620769230769231
2001-03-31,103.60666666666668,21.9100285207617,241323925.959644,3.766666666666667,7.006923076923077
