,hpi,perm,wage,supply,mr
1990-03-31,70.58,156.81229386550766,783284552.68801,7.466666666666666,10.131538461538462
1990-06-30,71.31,162.472679331838,795971474.305722,8.133333333333333,10.323846153846155
1990-09-30,72.54333333333334,180.25861707531917,805650915.3487179,8.133333333333333,10.103076923076923
1990-12-31,73.17,102.24762743361917,794538882.084784,8.466666666666667,9.95923076923077
1991-03-31,74.34666666666668,95.30486058236727,800687811.7523941,8.200000000000001,9.500769230769231
1991-06-30,75.35333333333334,133.01589154728765,818531372.368944,7.1000000000000005,9.522307692307693
1991-09-30,76.02,126.021756017011,824220840.043225,7.1000000000000005,9.273076923076923
1991-12-31,77.09666666666666,148.945999324837,831592799.5584401,6.366666666666667,8.69
1992-03-31,78.06,232.05176198444266,872514374.393181,5.3999999999999995,8.688461538461539
1992-06-30,78.74333333333334,137.909917216105,861102351.4150339,5.8999999999999995,8.677692307692308
1992-09-30,79.38333333333334,158.63807607737297,868993479.514942,5.166666666666667,8.017692307692307
1992-12-31,80.33666666666666,175.16957965879268,956559365.6473732,5.166666666666667,8.192142857142857
1993-03-31,80.72,135.50392265613766,863796967.653571,5.366666666666667,7.723333333333334
1993-06-30,81.40333333333332,174.65760316540533,922208275.41665,5.066666666666666,7.453076923076923
1993-09-30,82.07666666666667,220.20232918379997,949680232.9154472,5.233333333333333,7.087692307692308
1993-12-31,82.92666666666666,237.46975826927397,980705955.3744868,4.766666666666667,7.046428571428572
1994-03-31,83.77,230.851071856527,963145066.9290768,5.233333333333333,7.295833333333333
1994-06-30,84.89333333333333,246.30006775157267,1003402918.28664,5.566666666666666,8.427692307692308
1994-09-30,85.77999999999999,221.60465415194867,1029217869.92113,6.133333333333333,8.594285714285714
1994-12-31,86.23333333333333,230.50853359238303,1022773186.78597,6.166666666666667,9.105384615384615
1995-03-31,86.95666666666666,180.14390071379935,1055418721.5996,6.966666666666666,8.785384615384617
1995-06-30,87.73,200.680866460032,1076014639.54824,6.266666666666667,7.917692307692307
1995-09-30,88.81333333333333,210.29712110357664,1096388928.30546,6.0,7.696153846153846
1995-12-31,88.78333333333335,227.62970580043103,1106594370.23003,6.5,7.339230769230769
1996-03-31,88.71666666666665,276.5362535691873,1152900830.85523,5.966666666666666,7.272307692307692
1996-06-30,90.05333333333333,235.40346333676234,1164837782.8319,5.966666666666666,8.102307692307692
1996-09-30,90.59,235.0436475290887,1187475431.98369,5.3,8.146923076923077
1996-12-31,91.51333333333334,227.359366510789,1195001079.71701,5.266666666666667,7.703076923076923
1997-03-31,92.19,189.32266670398369,1208634861.9764302,4.433333333333334,7.7930769230769235
1997-06-30,91.93,215.9413491770607,1233482867.39181,4.566666666666666,7.926923076923076
1997-09-30,92.79333333333334,267.941948865166,1250972921.16721,4.3,7.47
1997-12-31,92.81,253.645591561615,1300708274.54067,4.2,7.205384615384616
1998-03-31,93.74,265.44935233207366,1285904984.66354,4.0,7.050000000000001
1998-06-30,93.95333333333332,276.418081954946,1347249168.76289,3.9,7.0976923076923075
1998-09-30,94.04666666666668,259.712281276461,1352819999.86469,4.066666666666666,6.872307692307692
1998-12-31,94.81,276.5189962786013,1400838738.28826,3.766666666666667,6.764285714285714
1999-03-31,96.02333333333333,255.4558260874857,1389995094.35635,4.0,6.8775
1999-06-30,97.34333333333332,260.843172471909,1428843878.40412,3.9333333333333336,7.181538461538461
1999-09-30,98.46999999999998,274.70789085769405,1454783055.99341,4.166666666666667,7.786153846153846
1999-12-31,99.79,285.32616744359365,1503481754.80019,4.266666666666667,7.840714285714285
2000-03-31,101.05666666666669,246.43398294815267,1541050428.9072402,4.3,8.256923076923076
2000-06-30,102.71333333333332,227.222421774989,1535019707.02412,4.533333333333334,8.316153846153846
2000-09-30,103.15333333333332,275.922734421146,1566474462.90709,4.166666666666667,8.02
2000-12-31,105.58,301.792057703054,1579610894.01327,3.9333333333333336,7.620769230769231
2001-03-31,107.09666666666668,338.818548769417,1643463158.14775,3.766666666666667,7.006923076923077
2001-06-30,107.54333333333334,355.5911947846046,1712090775.73772,4.033333333333334,7.13
2001-09-30,109.32666666666668,290.7984400072,1661637261.6787698,4.333333333333333,6.963846153846154
2001-12-31,111.15666666666668,288.66968076100966,1642221600.23894,4.066666666666666,6.770769230769231
2002-03-31,114.06333333333332,298.579232444536,1665034272.13554,4.1000000000000005,6.9715384615384615
2002-06-30,117.22333333333334,309.5625013881813,1670856892.87415,4.166666666666667,6.813076923076922
2002-09-30,120.47666666666667,352.77615037647,1677053861.66956,4.033333333333333,6.28923076923077
2002-12-31,123.13333333333333,292.86134160862065,1689657976.4536,4.0,6.075384615384616
2003-03-31,128.28666666666666,373.1827047299583,1736792130.06215,4.2,5.840769230769231
2003-06-30,130.6266666666667,310.26926466127134,1746764262.24001,3.8333333333333335,5.506923076923077
2003-09-30,135.16666666666666,348.4765256963187,1789439185.5708802,3.6333333333333333,6.033846153846154
2003-12-31,141.60666666666663,405.4712771908073,1815963222.5426104,3.9666666666666663,5.9192857142857145
2004-03-31,148.86,381.44629665044766,1841831373.78927,3.6999999999999997,5.5975
2004-06-30,160.8033333333333,405.03615653299363,1885832416.631,3.9,6.106153846153846
2004-09-30,173.69333333333336,435.83495839152994,1929007580.15355,4.3,5.894285714285714
2004-12-31,186.36666666666667,437.2333828005057,1983999120.18638,4.1000000000000005,5.7361538461538455
2005-03-31,196.75,351.69197991413466,1951749431.02074,4.266666666666667,5.768461538461538
2005-06-30,208.6833333333333,348.727820138348,2045006642.53667,4.266666666666667,5.708461538461538
2005-09-30,215.82,552.678454998248,2114044097.04274,4.466666666666667,5.7638461538461545
2005-12-31,220.11333333333332,474.93055420306837,2064679634.6378896,4.8,6.226153846153846
2006-03-31,220.14333333333332,357.8406997002683,2138965609.20474,5.766666666666667,6.2469230769230775
2006-06-30,219.88333333333333,318.617324445319,2172406482.08774,6.266666666666667,6.602307692307692
2006-09-30,214.23333333333332,334.1486739143143,2178989305.56364,6.8999999999999995,6.5600000000000005
2006-12-31,207.34666666666664,120.61804266245234,2211257586.42953,6.8,6.243846153846154
2007-03-31,205.6533333333333,157.04208702981833,2268374735.4575,7.666666666666667,6.214615384615384
2007-06-30,201.39,193.45269847077034,2278502599.80032,7.8,6.358461538461539
2007-09-30,195.48666666666668,176.878145938187,2269930307.0722,8.9,6.5515384615384615
2007-12-31,188.9233333333333,141.91983496937334,2319160827.94867,9.166666666666666,6.224615384615385
2008-03-31,180.32666666666668,100.37223137265346,2306805659.85321,9.833333333333334,5.872307692307692
2008-06-30,170.54999999999998,89.26310912315914,2247372974.85361,10.566666666666666,6.086923076923076
2008-09-30,162.77333333333334,55.92733762331127,2210029919.7292104,10.9,6.322307692307692
2008-12-31,151.74,55.22171806114083,2153495524.53483,11.4,5.841428571428572
2009-03-31,137.74666666666667,45.40791374491847,2068177973.30608,11.233333333333334,5.06
2009-06-30,129.50333333333333,38.42208193444114,2036114347.43418,9.5,5.012307692307692
2009-09-30,124.20333333333332,49.20965980435553,1997910451.0317895,7.733333333333333,5.162307692307692
2009-12-31,120.75,55.756030488254964,1994090232.36667,7.666666666666667,4.922142857142857
2010-03-31,118.46,56.402274281951726,1917023420.4762,7.833333333333333,4.995833333333334
2010-06-30,116.06666666666666,40.558344658362365,2002735464.9355304,7.933333333333334,4.922307692307692
2010-09-30,113.67333333333332,37.288370004505936,1988314809.48593,8.433333333333334,4.4471428571428575
2010-12-31,111.96,34.98014467580577,1996468611.88113,7.8,4.436153846153847
2011-03-31,111.04333333333334,46.429999029360694,1969688265.95695,7.533333333333334,4.846923076923077
2011-06-30,106.94333333333331,36.03380549880054,2022421739.01614,6.633333333333333,4.650769230769231
2011-09-30,102.75333333333332,39.5301206039108,2081148926.14736,6.5,4.291538461538462
2011-12-31,102.19,46.40088790361026,1972915928.92414,5.666666666666667,4.002307692307692
2012-03-31,101.57333333333334,36.20062276751167,2059650035.62471,5.0,3.9223076923076925
2012-06-30,103.38333333333333,68.22275949429543,2025566335.60688,4.8,3.7946153846153843
2012-09-30,107.43666666666668,70.47621055720809,2026104567.27026,4.566666666666666,3.553846153846154
2012-12-31,111.79666666666668,82.4280114863124,2054678756.7449696,4.666666666666667,3.3592307692307695
2013-03-31,118.51,95.99769491302202,2091161302.66347,4.1000000000000005,3.496923076923077
2013-06-30,126.14333333333332,106.0661635310682,2093499604.93476,4.366666666666666,3.6723076923076925
2013-09-30,133.0666666666667,112.89860063475408,2133655104.82104,5.466666666666666,4.4399999999999995
2013-12-31,138.85333333333332,92.0499738648188,2145104814.5614605,5.033333333333334,4.2930769230769235
2014-03-31,142.28333333333333,102.57260681886414,2221122220.30985,5.333333333333333,4.364615384615385
2014-06-30,146.36333333333334,112.20866592134367,2196295671.03995,5.533333333333334,4.227692307692307
2014-09-30,150.06666666666666,136.071342963359,2221498209.20687,5.666666666666667,4.135384615384615
2014-12-31,152.89666666666668,144.68086252111502,2302400804.87926,5.366666666666667,3.9635714285714285
2015-03-31,157.58666666666667,150.42072924423633,2285594077.02849,4.8,3.716666666666667
2015-06-30,161.50666666666666,157.870786075393,2358711269.5992603,5.1000000000000005,3.819230769230769
2015-09-30,167.6233333333333,152.19939882851966,2369279578.5865803,5.366666666666667,3.9546153846153844
2015-12-31,171.93666666666664,190.79723385283899,2523398781.08894,5.3999999999999995,3.8978571428571427
