,hpi,perm,wage,supply,mr
1990-03-31,70.64333333333333,,111807158.464181,7.466666666666666,10.131538461538462
1990-06-30,71.22666666666667,,115929621.546297,8.133333333333333,10.323846153846155
1990-09-30,71.83333333333333,,118153072.516149,8.133333333333333,10.103076923076923
1990-12-31,74.06666666666666,,118477019.548035,8.466666666666667,9.95923076923077
1991-03-31,76.83333333333333,,120722192.132372,8.200000000000001,9.500769230769231
1991-06-30,77.00333333333333,,121877968.184443,7.1000000000000005,9.522307692307693
1991-09-30,77.50333333333333,,122675760.361897,7.1000000000000005,9.273076923076923
1991-12-31,79.34333333333333,,123348875.854775,6.366666666666667,8.69
1992-03-31,81.02,,128175495.083489,5.3999999999999995,8.688461538461539
1992-06-30,81.6,,129271191.468269,5.8999999999999995,8.677692307692308
1992-09-30,83.07666666666667,,130948292.906363,5.166666666666667,8.017692307692307
1992-12-31,83.62,,137543587.574796,5.166666666666667,8.192142857142857
1993-03-31,83.47333333333334,,128856873.828591,5.366666666666667,7.723333333333334
1993-06-30,85.03666666666668,,137586989.720231,5.066666666666666,7.453076923076923
1993-09-30,86.89333333333333,,141850995.945613,5.233333333333333,7.087692307692308
1993-12-31,87.19666666666667,,147501454.269492,4.766666666666667,7.046428571428572
1994-03-31,88.25,,150047430.635309,5.233333333333333,7.295833333333333
1994-06-30,89.27,,149711055.558783,5.566666666666666,8.427692307692308
1994-09-30,88.78666666666668,,158583647.925205,6.133333333333333,8.594285714285714
1994-12-31,89.29666666666667,,160981886.597436,6.166666666666667,9.105384615384615
1995-03-31,90.42,,162870238.204571,6.966666666666666,8.785384615384617
1995-06-30,92.77333333333333,,168600458.476921,6.266666666666667,7.917692307692307
1995-09-30,93.97666666666667,,172742038.000057,6.0,7.696153846153846
1995-12-31,93.74,,173615608.432694,6.5,7.339230769230769
1996-03-31,95.64,,177212376.372064,5.966666666666666,7.272307692307692
1996-06-30,94.45666666666666,,182092601.333031,5.966666666666666,8.102307692307692
1996-09-30,93.86333333333332,,182835298.268485,5.3,8.146923076923077
1996-12-31,95.31333333333332,,186248002.56014895,5.266666666666667,7.703076923076923
1997-03-31,96.11333333333332,,190475956.789318,4.433333333333334,7.7930769230769235
1997-06-30,96.67,,193247199.152697,4.566666666666666,7.926923076923076
1997-09-30,97.93333333333334,,197332307.873499,4.3,7.47
1997-12-31,97.78333333333336,,202222404.03343895,4.2,7.205384615384616
1998-03-31,98.42,,204768787.328519,4.0,7.050000000000001
1998-06-30,98.68,,208795713.888471,3.9,7.0976923076923075
1998-09-30,99.14666666666666,,212502172.717766,4.066666666666666,6.872307692307692
1998-12-31,99.69333333333331,,222862305.302984,3.766666666666667,6.764285714285714
1999-03-31,98.80666666666669,,224058534.874275,4.0,6.8775
